sentence,word,POS
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,אם,SCONJ
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,דבר,NOUN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,מה,ADV
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,נמחץ,VERB
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,סימן,NOUN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,ש,SCONJ
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,מישהו,NOUN
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,אחר,ADJ
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,לחץ,VERB
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,על_,ADP
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,_הוא,PRON
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,ב,ADP
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,ה_,DET
אם דבר מה נמחץ סימן שמישהו אחר לחץ עליו בחוזקה,חוזקה,NOUN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,אדם,NOUN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ש,SCONJ
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,אחז,VERB
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ב,ADP
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,משהו,NOUN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,הוא,PRON
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,לא,ADV
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,הרפה,VERB
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,מ,ADP
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ה,DET
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,דבר,NOUN
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,ב_,ADP
אדם שאחז במשהו הוא אדם שלא הרפה מהדבר בו הוא אחז,_הוא,PRON
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),אדם,NOUN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),ש,SCONJ
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),בעט,VERB
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),הוא,AUX
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),היכה,VERB
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),ב,ADP
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),סוג,NOUN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),מסוים,ADJ
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),של,ADP
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),מכה,NOUN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),(,PUNCT
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),בעיטה,NOUN
אדם שבעט הוא אדם שהיכה בסוג מסוים של מכה (בעיטה),),PUNCT
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,אדם,NOUN
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,ש,SCONJ
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,טלטל,VERB
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,דבר,NOUN
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,מה,ADV
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,הוא,AUX
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,נענע,VERB
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,ב,ADP
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,ה_,DET
אדם שטלטל דבר מה הוא אדם שנענע דבר מה בחוזקה,חוזקה,NOUN
לקצוב פירושו לקבוע מידה מסוימת של זמן,ל,ADP
לקצוב פירושו לקבוע מידה מסוימת של זמן,ה_,DET
לקצוב פירושו לקבוע מידה מסוימת של זמן,קצוב,NOUN
לקצוב פירושו לקבוע מידה מסוימת של זמן,פירוש_,NOUN
לקצוב פירושו לקבוע מידה מסוימת של זמן,_של_,ADP
לקצוב פירושו לקבוע מידה מסוימת של זמן,_הוא,PRON
לקצוב פירושו לקבוע מידה מסוימת של זמן,לקבוע,VERB
לקצוב פירושו לקבוע מידה מסוימת של זמן,מידה,NOUN
לקצוב פירושו לקבוע מידה מסוימת של זמן,מסוימת,ADJ
לקצוב פירושו לקבוע מידה מסוימת של זמן,של,ADP
לקצוב פירושו לקבוע מידה מסוימת של זמן,זמן,NOUN
לתחום פירושו לקבוע מידה מסוימת של שטח,ל,ADP
לתחום פירושו לקבוע מידה מסוימת של שטח,ה_,DET
לתחום פירושו לקבוע מידה מסוימת של שטח,תחום,NOUN
לתחום פירושו לקבוע מידה מסוימת של שטח,פירוש_,NOUN
לתחום פירושו לקבוע מידה מסוימת של שטח,_של_,ADP
לתחום פירושו לקבוע מידה מסוימת של שטח,_הוא,PRON
לתחום פירושו לקבוע מידה מסוימת של שטח,לקבוע,VERB
לתחום פירושו לקבוע מידה מסוימת של שטח,מידה,NOUN
לתחום פירושו לקבוע מידה מסוימת של שטח,מסוימת,ADJ
לתחום פירושו לקבוע מידה מסוימת של שטח,של,ADP
לתחום פירושו לקבוע מידה מסוימת של שטח,שטח,NOUN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,כש,SCONJ
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,רוצים,VERB
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ל,ADP
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ה_,DET
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,תחום,NOUN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,שטח,NOUN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,כלשהו,PRON
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,צריך,AUX
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,לקבוע,VERB
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,את,ADP
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ה,DET
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,תוואי,NOUN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,ב_,ADP
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,_הוא,PRON
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,יעברו,VERB
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,גבולות,NOUN
כשרוצים לתחום שטח כלשהו צריך לקבוע את התוואי בו יעברו הגבולות שלו,של_,ADP
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,על,ADP
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,מנת,ADP
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,ל,ADP
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,ה_,DET
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,תחום,NOUN
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,שטח,NOUN
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,כלשהו,PRON
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,ניתן,AUX
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,להשתמש,VERB
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,ב,ADP
על מנת לתחום שטח כלשהו ניתן להשתמש בגדר,גדר,NOUN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ל,ADP
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ה_,DET
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,תחום,NOUN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,שטחח,X
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,פירוש_,NOUN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,_של_,ADP
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,_הוא,PRON
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ליצור,VERB
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,הפרדה,NOUN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,בין_,ADP
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,לבין,ADP
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ה,SCONJ
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,שטח,NOUN
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,גובל,VERB
לתחום שטחח פירושו ליצור הפרדה בינו לבין השטח הגובל בו,ב_,ADP
מה ששצף ביצע את הפעולה של לזרום בכוח,מה,ADV
מה ששצף ביצע את הפעולה של לזרום בכוח,ש,SCONJ
מה ששצף ביצע את הפעולה של לזרום בכוח,צף,VERB
מה ששצף ביצע את הפעולה של לזרום בכוח,ביצע,VERB
מה ששצף ביצע את הפעולה של לזרום בכוח,את,ADP
מה ששצף ביצע את הפעולה של לזרום בכוח,ה,DET
מה ששצף ביצע את הפעולה של לזרום בכוח,פעולה,NOUN
מה ששצף ביצע את הפעולה של לזרום בכוח,של,ADP
מה ששצף ביצע את הפעולה של לזרום בכוח,לזרום,VERB
מה ששצף ביצע את הפעולה של לזרום בכוח,ב,ADP
מה ששצף ביצע את הפעולה של לזרום בכוח,כוח,NOUN
מי שגזר ביצע את הפעולה של לחתוך,מי,ADV
מי שגזר ביצע את הפעולה של לחתוך,ש,SCONJ
מי שגזר ביצע את הפעולה של לחתוך,גזר,VERB
מי שגזר ביצע את הפעולה של לחתוך,ביצע,VERB
מי שגזר ביצע את הפעולה של לחתוך,את,ADP
מי שגזר ביצע את הפעולה של לחתוך,ה,DET
מי שגזר ביצע את הפעולה של לחתוך,פעולה,NOUN
מי שגזר ביצע את הפעולה של לחתוך,של,ADP
מי שגזר ביצע את הפעולה של לחתוך,לחתוך,VERB
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,מישהו,NOUN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,ש,SCONJ
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לקח,VERB
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,ל,ADP
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,עצמו,PRON
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,משהו,NOUN
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,עשוי,AUX
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,היה,AUX
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לחמוד,VERB
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,את_,ADP
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,_הוא,PRON
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,לפני,ADP
מישהו שלקח לעצמו משהו עשוי היה לחמוד אותו לפני כן,כן,PRON
מי שלפת ביצע את הפעולה של לאחוז בכוח,מי,ADV
מי שלפת ביצע את הפעולה של לאחוז בכוח,ש,SCONJ
מי שלפת ביצע את הפעולה של לאחוז בכוח,לפת,VERB
מי שלפת ביצע את הפעולה של לאחוז בכוח,ביצע,VERB
מי שלפת ביצע את הפעולה של לאחוז בכוח,את,ADP
מי שלפת ביצע את הפעולה של לאחוז בכוח,ה,DET
מי שלפת ביצע את הפעולה של לאחוז בכוח,פעולה,NOUN
מי שלפת ביצע את הפעולה של לאחוז בכוח,של,ADP
מי שלפת ביצע את הפעולה של לאחוז בכוח,לאחוז,VERB
מי שלפת ביצע את הפעולה של לאחוז בכוח,ב,ADP
מי שלפת ביצע את הפעולה של לאחוז בכוח,כוח,NOUN
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,אם,SCONJ
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,משהו,NOUN
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,בער,VERB
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,ייתכן,AUX
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,ש,SCONJ
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,מישהו,NOUN
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,בחר,VERB
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,לשרוף,VERB
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,את_,ADP
אם משהו בער ייתכן שמישהו בחר לשרוף אותו,_הוא,PRON
שבע רצון הוא אדם שחש סיפוק,שבע,NUM
שבע רצון הוא אדם שחש סיפוק,רצון,NOUN
שבע רצון הוא אדם שחש סיפוק,הוא,AUX
שבע רצון הוא אדם שחש סיפוק,אדם,NOUN
שבע רצון הוא אדם שחש סיפוק,שחש,NOUN
שבע רצון הוא אדם שחש סיפוק,סיפוק,NOUN
מנוכר הוא אדם שחש זרות,מנוכר,VERB
מנוכר הוא אדם שחש זרות,הוא,AUX
מנוכר הוא אדם שחש זרות,אדם,NOUN
מנוכר הוא אדם שחש זרות,ש,SCONJ
מנוכר הוא אדם שחש זרות,חש,VERB
מנוכר הוא אדם שחש זרות,זרות,NOUN
זהיר הוא אדם שנזהר מסכנה,זהיר,ADJ
זהיר הוא אדם שנזהר מסכנה,הוא,AUX
זהיר הוא אדם שנזהר מסכנה,אדם,NOUN
זהיר הוא אדם שנזהר מסכנה,ש,SCONJ
זהיר הוא אדם שנזהר מסכנה,נזהר,VERB
זהיר הוא אדם שנזהר מסכנה,מסכן_,NOUN
זהיר הוא אדם שנזהר מסכנה,_של_,ADP
זהיר הוא אדם שנזהר מסכנה,_היא,PRON
זחוח הוא אדם שאינו מתנהג בענווה,זחוח,PROPN
זחוח הוא אדם שאינו מתנהג בענווה,הוא,AUX
זחוח הוא אדם שאינו מתנהג בענווה,אדם,NOUN
זחוח הוא אדם שאינו מתנהג בענווה,ש,SCONJ
זחוח הוא אדם שאינו מתנהג בענווה,אינו,AUX
זחוח הוא אדם שאינו מתנהג בענווה,מתנהג,VERB
זחוח הוא אדם שאינו מתנהג בענווה,ב,ADP
זחוח הוא אדם שאינו מתנהג בענווה,ענווה,NOUN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,אהוד,PROPN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,הוא,AUX
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,אדם,NOUN
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,ש,SCONJ
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,אחרים,ADJ
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,רוחשים,VERB
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,כלפי_,ADP
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,_הוא,PRON
אהוד הוא אדם שאחרים רוחשים כלפיו חיבה,חיבה,NOUN
מאסף נמצא בסוף השיירה,מאסף,PROPN
מאסף נמצא בסוף השיירה,נמצא,VERB
מאסף נמצא בסוף השיירה,ב,ADP
מאסף נמצא בסוף השיירה,סוף,NOUN
מאסף נמצא בסוף השיירה,ה,DET
מאסף נמצא בסוף השיירה,שיירה,NOUN
תא הטייס נמצא בחרטום המטוס,תא,NOUN
תא הטייס נמצא בחרטום המטוס,ה,DET
תא הטייס נמצא בחרטום המטוס,טייס,NOUN
תא הטייס נמצא בחרטום המטוס,נמצא,VERB
תא הטייס נמצא בחרטום המטוס,ב,ADP
תא הטייס נמצא בחרטום המטוס,חר,NOUN
תא הטייס נמצא בחרטום המטוס,טום,NOUN
תא הטייס נמצא בחרטום המטוס,מטוס,NOUN
אמודאי הוא צוללן שיכול לצלול למעמקים,אמודאי,ADJ
אמודאי הוא צוללן שיכול לצלול למעמקים,הוא,AUX
אמודאי הוא צוללן שיכול לצלול למעמקים,צוללן,NOUN
אמודאי הוא צוללן שיכול לצלול למעמקים,ש,SCONJ
אמודאי הוא צוללן שיכול לצלול למעמקים,יכול,AUX
אמודאי הוא צוללן שיכול לצלול למעמקים,לצלול,VERB
אמודאי הוא צוללן שיכול לצלול למעמקים,ל,ADP
אמודאי הוא צוללן שיכול לצלול למעמקים,ה_,DET
אמודאי הוא צוללן שיכול לצלול למעמקים,מעמקים,NOUN
מטוס נוסע על מסלול לפני ההמראה,מטוס,NOUN
מטוס נוסע על מסלול לפני ההמראה,נוסע,VERB
מטוס נוסע על מסלול לפני ההמראה,על,ADP
מטוס נוסע על מסלול לפני ההמראה,מסלול,NOUN
מטוס נוסע על מסלול לפני ההמראה,לפני,ADP
מטוס נוסע על מסלול לפני ההמראה,ה,DET
מטוס נוסע על מסלול לפני ההמראה,המראה,NOUN
ירכתיים נמצאים בסוף (תחתית) הספינה,ירכתיים,NOUN
ירכתיים נמצאים בסוף (תחתית) הספינה,נמצאים,VERB
ירכתיים נמצאים בסוף (תחתית) הספינה,ב,ADP
ירכתיים נמצאים בסוף (תחתית) הספינה,סוף,NOUN
ירכתיים נמצאים בסוף (תחתית) הספינה,(,PUNCT
ירכתיים נמצאים בסוף (תחתית) הספינה,תחתית,NOUN
ירכתיים נמצאים בסוף (תחתית) הספינה,),PUNCT
ירכתיים נמצאים בסוף (תחתית) הספינה,ה,DET
ירכתיים נמצאים בסוף (תחתית) הספינה,ספינה,NOUN
שכתוב היא פעולה שעשה מי שכתב מחדש,ש,SCONJ
שכתוב היא פעולה שעשה מי שכתב מחדש,כתוב,NOUN
שכתוב היא פעולה שעשה מי שכתב מחדש,היא,AUX
שכתוב היא פעולה שעשה מי שכתב מחדש,פעולה,NOUN
שכתוב היא פעולה שעשה מי שכתב מחדש,עשה,VERB
שכתוב היא פעולה שעשה מי שכתב מחדש,מי,ADV
שכתוב היא פעולה שעשה מי שכתב מחדש,כתב,VERB
שכתוב היא פעולה שעשה מי שכתב מחדש,מחדש,ADV
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,שחזור,NOUN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,היא,AUX
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,פעולה,NOUN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,ש,SCONJ
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,עשה,VERB
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,מי,ADV
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,החזיר,VERB
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,דבר,NOUN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,מה,ADV
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,לצורה_,NOUN
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,_של_,ADP
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,_הוא,PRON
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,ה,DET
שחזור היא פעולה שעשה מי שהחזיר דבר מה לצורתו המקורית,מקורית,ADJ
שעבוד היא פעולה שעשה מי שהעביד אחר,ש,SCONJ
שעבוד היא פעולה שעשה מי שהעביד אחר,עבוד,NOUN
שעבוד היא פעולה שעשה מי שהעביד אחר,היא,AUX
שעבוד היא פעולה שעשה מי שהעביד אחר,פעולה,NOUN
שעבוד היא פעולה שעשה מי שהעביד אחר,עשה,VERB
שעבוד היא פעולה שעשה מי שהעביד אחר,מי,ADV
שעבוד היא פעולה שעשה מי שהעביד אחר,העביד,VERB
שעבוד היא פעולה שעשה מי שהעביד אחר,אחר,ADP
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,ה,DET
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,להיב,VERB
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,הוא,AUX
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,מי,ADV
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,ש,SCONJ
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,ביצע,VERB
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,על,ADP
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,אחר,ADJ
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,פעולה,NOUN
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,של,ADP
הלהיב הוא מי שביצע על אחר פעולה של שלהוב,שלהוב,NOUN
שערוך היא פעולה שעשה מי שהעריך מחדש,ש,SCONJ
שערוך היא פעולה שעשה מי שהעריך מחדש,ערוך,VERB
שערוך היא פעולה שעשה מי שהעריך מחדש,היא,AUX
שערוך היא פעולה שעשה מי שהעריך מחדש,פעולה,NOUN
שערוך היא פעולה שעשה מי שהעריך מחדש,עשה,VERB
שערוך היא פעולה שעשה מי שהעריך מחדש,מי,ADV
שערוך היא פעולה שעשה מי שהעריך מחדש,העריך,VERB
שערוך היא פעולה שעשה מי שהעריך מחדש,מחדש,ADV
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,נושה,PROPN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,הוא,PRON
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,מי,ADV
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,ש,SCONJ
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,יש,VERB
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,אדם,NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,אחר,ADJ
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,ה,DET
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,חייב,ADJ
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,(,PUNCT
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,בעל,NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,חוב,NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,),PUNCT
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,של_,ADP
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,_הוא,PRON
מורשע הוא מי שנמצא אשם במשפט,מורשע,VERB
מורשע הוא מי שנמצא אשם במשפט,הוא,AUX
