sentence,word,phrases,yap_pos,trankit_pos,POS
דבר לולייני הוא דבר שצורתו היא צורת סליל,לולייני,0,['JJ'],['PROPN'],ADJECTIVE
דבר לולייני הוא דבר שצורתו היא צורת סליל,סליל,0,['NN'],['NOUN'],NOUN
משוער הוא משהו שהוא לא ודאי,משוער,0,['BN'],[],OTHER
משוער הוא משהו שהוא לא ודאי,ודאי,0,['RB'],['ADJ'],ADJECTIVE
איש אשכולות הוא כינוי לאדם שיש לו ידע בתחומים רבים מגוונים,ידע,0,['NN'],['NOUN'],NOUN
איש אשכולות הוא כינוי לאדם שיש לו ידע בתחומים רבים מגוונים,איש אשכולות,1,[],[],PHRASE
בגד מייצרים מהצמר אשר נאסף בגז,בגד,0,[],['NOUN'],NOUN
בגד מייצרים מהצמר אשר נאסף בגז,גֵּז,0,[],[],UNDEFINED
אגל היא יחידה אחת של טל,טל,0,['NN'],['PROPN'],NOUN
אגל היא יחידה אחת של טל,אגל,0,['NN'],['PROPN'],NOUN
קבוע וארעי (זמני) הן מילים שמשמעותן הפוכה,קבוע,0,['JJ'],['ADJ'],ADJECTIVE
קבוע וארעי (זמני) הן מילים שמשמעותן הפוכה,ארעי,0,['JJ'],['ADJ'],ADJECTIVE
אבוס הוא מתקן המשמש בעלי חיים לאכילה ושוקת היא כלי המשמש אותם לשתייה,אבוס,0,['NN'],['PROPN'],NOUN
אבוס הוא מתקן המשמש בעלי חיים לאכילה ושוקת היא כלי המשמש אותם לשתייה,שוקת,0,['NN'],['PROPN'],NOUN
זניח הוא דבר שאין צורך להביא בחשבון,זניח,0,['JJT'],['NOUN'],ADJECTIVE
זניח הוא דבר שאין צורך להביא בחשבון,להביא בחשבון,1,[],[],PHRASE
"מי ששואל ""היכן?"" עושה זאת על מנת למצוא משהו",היכן?,0,['NNP'],['ADV'],NOUN
"מי ששואל ""היכן?"" עושה זאת על מנת למצוא משהו",למצוא,0,['VB'],[],VERB
סימפוניה היא סוג של יצירה מוזיקלית,סימפוניה,0,['NN'],['NOUN'],NOUN
סימפוניה היא סוג של יצירה מוזיקלית,יצירה מוזיקלית,1,[],[],PHRASE
התבקש הוא מי שאדם אחר ביקש ממנו לעשות דבר מה,התבקש,0,['VB'],['VERB'],VERB
התבקש הוא מי שאדם אחר ביקש ממנו לעשות דבר מה,ביקש,0,['VB'],['VERB'],VERB
לחבר פירושו לגרום להפך מנתק,לחבר,0,[],[],UNDEFINED
לחבר פירושו לגרום להפך מנתק,נֶתֶק,0,[],[],UNDEFINED
לקלף זה להסיר את הקליפה מדבר מה,לקלף,0,[],['VERB'],VERB
לקלף זה להסיר את הקליפה מדבר מה,קליפה,0,['NN'],['NOUN'],NOUN
ברזל הוא חומר הגלם שאיתו עובד הנפח,נפח,0,['NN'],['NOUN'],NOUN
ברזל הוא חומר הגלם שאיתו עובד הנפח,ברזל,0,['NN'],['NOUN'],NOUN
להתכלות פירשו לעבור תהליך של התכלות אשר בסופו העובר אותו חדל מלהיות קיים,להתכלות,0,[],[],UNDEFINED
להתכלות פירשו לעבור תהליך של התכלות אשר בסופו העובר אותו חדל מלהיות קיים,קיים,0,['VB'],['ADJ'],VERB
אדם שדידה הוא אדם שהלך עם מגבלה,דידה,0,['VB'],['VERB'],VERB
אדם שדידה הוא אדם שהלך עם מגבלה,הלך,0,['VB'],['VERB'],VERB
מה שנעשה בריש גלי (בגלוי) אינו נעשה בחשאי,בריש גלי,0,[],[],UNDEFINED
מה שנעשה בריש גלי (בגלוי) אינו נעשה בחשאי,בחשאי,0,['RB'],[],OTHER
אם למישהו חש כמיהה לדבר מה משמעות הדבר כי הוא רוצה אותו מאוד,כמיהה,0,['NN'],['NOUN'],NOUN
אם למישהו חש כמיהה לדבר מה משמעות הדבר כי הוא רוצה אותו מאוד,רוצה,0,['BN'],['VERB'],VERB
אם אני מכיר מישהו אז הוא מוכר עבורי,מכיר,0,['BN'],['VERB'],VERB
אם אני מכיר מישהו אז הוא מוכר עבורי,מוכר,0,['BN'],['VERB'],VERB
ניתן להגיש בעזרת טס,להגיש,0,['VB'],['VERB'],VERB
ניתן להגיש בעזרת טס,טס,0,['NN'],['PROPN'],NOUN
"""שור!"" (""התבונן!"") הוא ציווי שגרם לכך שמישהו הביט","""שור!""",0,['NNP'],[],NOUN
"""שור!"" (""התבונן!"") הוא ציווי שגרם לכך שמישהו הביט",הביט,0,[],['VERB'],VERB
קמין הוא סוג של תנור,קמין,0,['NN'],['PROPN'],NOUN
קמין הוא סוג של תנור,תנור,0,['NN'],['NOUN'],NOUN
העוגן יכול למנוע את הפעולה שהמשוט יוצר,משוט,0,['NN'],['NOUN'],NOUN
העוגן יכול למנוע את הפעולה שהמשוט יוצר,עוגן,0,['NN'],['NOUN'],NOUN
אדווה (גלים קטנים החולפים על פני מים שקטים) היא גל קטן נחשול הוא גל גדול.,אדווה,0,['NNP'],['NOUN'],NOUN
אדווה (גלים קטנים החולפים על פני מים שקטים) היא גל קטן נחשול הוא גל גדול.,נחשול,0,['NN'],['NOUN'],NOUN
מי שרוצה לפסק דבר מה צריך להשתמש בסימני פיסוק,לפסק,0,[],[],UNDEFINED
מי שרוצה לפסק דבר מה צריך להשתמש בסימני פיסוק,סימני פיסוק,0,[],[],UNDEFINED
אם למשהו יש מחיר גבוה אז הוא יקר,מחיר,0,['NN'],['NOUN'],NOUN
אם למשהו יש מחיר גבוה אז הוא יקר,יקר,0,['JJ'],['ADJ'],ADJECTIVE
המילה אז היא תשובה אפשרית לשאלה: מתי?,מתי?,0,['NNP'],['ADV'],NOUN
המילה אז היא תשובה אפשרית לשאלה: מתי?,אז,0,['RB'],['ADV'],OTHER
כאשר עושים משהו היטב משמעות הדבר כי הוא נעשה באופן טוב,טוֹב,0,[],[],UNDEFINED
כאשר עושים משהו היטב משמעות הדבר כי הוא נעשה באופן טוב,היטב.,0,[],[],UNDEFINED
נקלע הוא מי שהגיע למקום מסוים במקרה כלומר בלי כוונה,נקלע,0,['BN'],['PROPN'],NOUN
נקלע הוא מי שהגיע למקום מסוים במקרה כלומר בלי כוונה,הגיע,0,['VB'],['VERB'],VERB
.מי שביצע המלכה הכתיר מישהו אחר וגרם לו להפוך למלך,המְלכה,0,[],[],UNDEFINED
.מי שביצע המלכה הכתיר מישהו אחר וגרם לו להפוך למלך,מלך,0,['NN'],[],NOUN
שאיפה היא הכנסה של אוויר,שאיפה,0,['NN'],[],NOUN
שאיפה היא הכנסה של אוויר,אוויר,0,['NN'],['NOUN'],NOUN
מה שניצת התחיל לבעור,ניצת,0,['VB'],['VERB'],VERB
מה שניצת התחיל לבעור,לבעור,0,['VB'],['NOUN'],VERB
קמח הוא התוצר הרצוי של פעולת הריחיים,ריחיים,0,['NN'],['NOUN'],NOUN
קמח הוא התוצר הרצוי של פעולת הריחיים,קמח,0,['NN'],['NOUN'],NOUN
אדם שביצע את הפעולה לנמק עשוי היה לגרום לכך שאדם אחר השתכנע,לנמק,0,[],['VERB'],VERB
אדם שביצע את הפעולה לנמק עשוי היה לגרום לכך שאדם אחר השתכנע,השתכנע,0,['VB'],['VERB'],VERB
חיריק הוא נקודה (בצורתו) בעל שימוש מסוים (ניקוד),חיריק,0,['NNP'],['PROPN'],NOUN
חיריק הוא נקודה (בצורתו) בעל שימוש מסוים (ניקוד),נקודה,0,['NN'],['NOUN'],NOUN
הבהרה היא מתן הסבר במטרה לכרום להבנה של דבר מה,הבהרה,0,['NN'],[],NOUN
הבהרה היא מתן הסבר במטרה לכרום להבנה של דבר מה,הבנה,0,['NN'],[],NOUN
דבר לח הוא דבר רטוב במקצת בעוד שדבר רווי הוא דבר מלא לחלוטין בנוזל,לח,0,"['JJ', 'RB']","['ADJ', 'ADV']",OTHER
דבר לח הוא דבר רטוב במקצת בעוד שדבר רווי הוא דבר מלא לחלוטין בנוזל,רווי,0,['JJ'],['ADJ'],ADJECTIVE
לדובב זה לגרום למישהו אחר לדבר,לדובב,0,['VB'],['VERB'],VERB
לדובב זה לגרום למישהו אחר לדבר,לדבר,0,[],['VERB'],VERB
רמיזה זה לתת רמז לאחר,רמיזה,0,['NN'],['NOUN'],NOUN
רמיזה זה לתת רמז לאחר,רמז,0,['NN'],['NOUN'],NOUN
מיילדת היא מי שמסייעת לאחר ללדת ,מיילדת,0,['BN'],['NOUN'],NOUN
מיילדת היא מי שמסייעת לאחר ללדת ,ללדת,0,['VB'],['NOUN'],VERB
תגבורת היא תוספת של כוח אדם,תגבורת,0,['NN'],['NOUN'],NOUN
תגבורת היא תוספת של כוח אדם,כוח אדם,0,[],[],UNDEFINED
מי ששיבח דבר כלשהו ביצע את הפעולה ההפוכה ממי שגינה,שיבח,0,['VB'],['VERB'],VERB
מי ששיבח דבר כלשהו ביצע את הפעולה ההפוכה ממי שגינה,גינה,0,['VB'],['VERB'],VERB
נר מסייע להפיג חושך,חושך,0,['NN'],['NOUN'],NOUN
נר מסייע להפיג חושך,נר,0,['NN'],['NOUN'],NOUN
צמחייה היא שם כולל לצמחים,צמחייה,0,['NN'],['NOUN'],NOUN
צמחייה היא שם כולל לצמחים,צמחים,0,['NN'],['NOUN'],NOUN
משמעות המילה מצרימה היא לכיוון מצרים,מצרים,0,['BN'],"['NOUN', 'PROPN']",NOUN
משמעות המילה מצרימה היא לכיוון מצרים,מצרימה,0,[],[],UNDEFINED
מי שהלבין פניו של אחר גרם לו בושה,בושה,0,['NN'],['NOUN'],NOUN
מי שהלבין פניו של אחר גרם לו בושה,הלבין פניו,1,[],[],PHRASE
אם אדם קימר דבר כלשהו הוא גרם לכך שיהיה לו מבנה קשתי,קימר,0,['VB'],['VERB'],VERB
אם אדם קימר דבר כלשהו הוא גרם לכך שיהיה לו מבנה קשתי,קשתי,0,['JJ'],['ADJ'],ADJECTIVE
נווד הוא אדם אשר מחליף את מקומו לעיתים קרובות,נווד,0,['NN'],['PROPN'],NOUN
נווד הוא אדם אשר מחליף את מקומו לעיתים קרובות,מקום,0,[],['NOUN'],NOUN
לוליין הוא אדם שמבצע תרגילים באוהל קרקס,לוליין,0,['NN'],['PROPN'],NOUN
לוליין הוא אדם שמבצע תרגילים באוהל קרקס,אוהל קרקס,0,[],[],UNDEFINED
מי שהרשה נתן לאדם אחר רשות,הרשה,0,['VB'],['VERB'],VERB
מי שהרשה נתן לאדם אחר רשות,רשות,0,['NN'],['NOUN'],NOUN
כשאדם נמצא שמאלה ביחס לדבר מסוים הדבר למעשה נמצא מימין אל האדם,שמאלה,0,['RB'],[],OTHER
כשאדם נמצא שמאלה ביחס לדבר מסוים הדבר למעשה נמצא מימין אל האדם,מימין,0,[],[],UNDEFINED
כאשר מעונן פירוש הדבר שהשמיים מכוסים ענן(עננים),ענן,0,['NNP'],['NOUN'],NOUN
כאשר מעונן פירוש הדבר שהשמיים מכוסים ענן(עננים),מעונן,0,['NNT'],['VERB'],NOUN
טרחני הוא אדם הנוטה להטריד אחרים,טרחני,0,['JJT'],['ADJ'],ADJECTIVE
טרחני הוא אדם הנוטה להטריד אחרים,להטריד,0,['VB'],['VERB'],VERB
.לנסר זו פעולה שתוצר הלוואי שלה הוא שבבים,לנסר,0,['NNP'],[],NOUN
.לנסר זו פעולה שתוצר הלוואי שלה הוא שבבים,שבבים,0,['NN'],[],NOUN
כדי להגיע לכיוון מערב יש ללכת ימה,מערב,0,['NN'],[],NOUN
כדי להגיע לכיוון מערב יש ללכת ימה,ימה,0,['RB'],['ADV'],OTHER
להקהיל היא פעולת איסוף אנשים,אנשים,0,['NN'],['NOUN'],NOUN
להקהיל היא פעולת איסוף אנשים,להקהיל,0,['VB'],['PROPN'],VERB
אם נפרק סלע ליחידות קטנות יותר נקבל חצץ,סלע,0,['NN'],['NOUN'],NOUN
אם נפרק סלע ליחידות קטנות יותר נקבל חצץ,חצץ,0,['VB'],['NOUN'],VERB
להטריח פירושו לגרום למישהו טרחה,להטריח,0,['VB'],['VERB'],VERB
להטריח פירושו לגרום למישהו טרחה,טרחה,0,['VB'],['NOUN'],VERB
דוור הוא אדם המספק דואר לזולת,דוור,0,['NN'],['NOUN'],NOUN
דוור הוא אדם המספק דואר לזולת,דואר,0,['NN'],['NOUN'],NOUN
לקושש זה לאסוף עצם אותו ניתן להבעיר,לקושש,0,[],[],UNDEFINED
לקושש זה לאסוף עצם אותו ניתן להבעיר,להבעיר,0,['VB'],['VERB'],VERB
על גבי הכן ניתן להניח דברים כשם שבתוך המגירה ניתן להניח דברים,כַּן,0,[],[],UNDEFINED
על גבי הכן ניתן להניח דברים כשם שבתוך המגירה ניתן להניח דברים,על גבי,0,[],[],UNDEFINED
הישגיות היא השאיפה להגיע להישג חדש ומאתגר יותר בכל פעם,הישג,0,"['NN', 'NN']","['NOUN', 'NOUN']",NOUN
הישגיות היא השאיפה להגיע להישג חדש ומאתגר יותר בכל פעם,הישגיות,0,['NN'],['NOUN'],NOUN
שערה היא המרכיב היחידי המופיע מספר רב של פעמים בתוך קווצה של שערות,קווצה,0,['NN'],['NOUN'],NOUN
שערה היא המרכיב היחידי המופיע מספר רב של פעמים בתוך קווצה של שערות,שערה,0,['NN'],['NOUN'],NOUN
אדם שבא על שכרו הוא אדם שקיבל גמול על פועלו,גמול,0,['NN'],['NOUN'],NOUN
אדם שבא על שכרו הוא אדם שקיבל גמול על פועלו,בא על שכרו,0,[],[],UNDEFINED
מי שטען סוללה למעשה הכין אותה לשימוש,טען,0,['VB'],['VERB'],VERB
מי שטען סוללה למעשה הכין אותה לשימוש,סוללה,0,['NN'],['NOUN'],NOUN
תהליך הביות גורם לכך שהעצם עליו מבוצע התהליך לא יהיה פראי,ביות,0,['NN'],['NOUN'],NOUN
תהליך הביות גורם לכך שהעצם עליו מבוצע התהליך לא יהיה פראי,פראי,0,['JJ'],['ADJ'],ADJECTIVE
המילה איזה היא צורת היחיד של המילה אילו,איזה,0,['QW'],['PRON'],OTHER
המילה איזה היא צורת היחיד של המילה אילו,אילו,0,['CC'],['CCONJ'],OTHER
שרר הוא מי שהתמיד בפעולה זו לאחר שהשתרר במקום מסוים,השׂתרר,0,[],[],UNDEFINED
שרר הוא מי שהתמיד בפעולה זו לאחר שהשתרר במקום מסוים,שָׂרַר,0,[],[],UNDEFINED
לחם הוא מאכל שנאפה מחיטה שנקצר,לֶחם,0,[],[],UNDEFINED
לחם הוא מאכל שנאפה מחיטה שנקצר,נקצר,0,['VB'],['VERB'],VERB
הפעולה שמתבצעת על המקלדת מוצגת באצמעות צג,צג,0,"['BN', 'NN']","['VERB', 'NOUN']",OTHER
הפעולה שמתבצעת על המקלדת מוצגת באצמעות צג,מקלדת,0,['NN'],['NOUN'],NOUN
דבר מסקרן מעורר לסקרנות,מסַקרֵן,0,[],[],UNDEFINED
דבר מסקרן מעורר לסקרנות,סקרנות,0,['NN'],['NOUN'],NOUN
קל להרגיז מישהו שהוא נוח לכעוס,נוח לכעוס,0,[],[],UNDEFINED
קל להרגיז מישהו שהוא נוח לכעוס,הרגיז,0,['VB'],['VERB'],VERB
מי ששאל שאלה רצה לקבל תשובה ממישהו אחר,שאל,0,['VB'],"['VERB', 'NOUN']",VERB
מי ששאל שאלה רצה לקבל תשובה ממישהו אחר,תשובה,0,['NN'],['NOUN'],NOUN
פלה פירושו סילק כינים מתוך השיער,פלה,0,['VB'],['PROPN'],VERB
פלה פירושו סילק כינים מתוך השיער,שער,0,[],[],UNDEFINED
אח הוא סוג של שאר בשר (קרוב משפחה),שאר בשר,0,[],[],UNDEFINED
אח הוא סוג של שאר בשר (קרוב משפחה),אח,0,['NN'],['NOUN'],NOUN
תסמין מסייע לרופא להגיע לאבחנה,תסמין,0,['NN'],['NOUN'],NOUN
תסמין מסייע לרופא להגיע לאבחנה,אבחנה,0,['NN'],['NOUN'],NOUN
מעקה נועד למנוע נפילה ולהגן מפניה,נפילה,0,['NN'],['NOUN'],NOUN
מעקה נועד למנוע נפילה ולהגן מפניה,מעקה,0,['NN'],['NOUN'],NOUN
אם מישהו מסכים עם מישהו אחר יש ביניהם תמימות דעים,מסכים,0,['BN'],['VERB'],VERB
אם מישהו מסכים עם מישהו אחר יש ביניהם תמימות דעים,תמימות דעים,1,[],[],PHRASE
קפדן הוא מי שנוטה לדקדק,קפדן,0,['NN'],['NOUN'],NOUN
קפדן הוא מי שנוטה לדקדק,לדקדק,0,['VB'],[],VERB
ייעודו של לוח מודעות הוא שיתלו עליו מודעות,לוח מודעות,1,[],[],PHRASE
ייעודו של לוח מודעות הוא שיתלו עליו מודעות,מודעות,0,"['JJ', 'NN']",['NOUN'],NOUN
לאלתר פירושו ללא שהייה,לאלתר,0,['RB'],['ADV'],OTHER
לאלתר פירושו ללא שהייה,שהייה,0,['NN'],['NOUN'],NOUN
לייקר זה להעלות את המחיר,מחיר,0,['NN'],['NOUN'],NOUN
לייקר זה להעלות את המחיר,לייקר,0,['VB'],['VERB'],VERB
כדי לשכנע מישהו צריך לטעון היטב,לשכנע,0,['VB'],['VERB'],VERB
כדי לשכנע מישהו צריך לטעון היטב,לטעון,0,['VB'],['VERB'],VERB
צרה צרורה היא הצורה הקיצונית של צרה,צרה,0,"['NN', 'NN']",['NOUN'],NOUN
צרה צרורה היא הצורה הקיצונית של צרה,צרה צרורה,1,[],[],PHRASE
הספרייה מכילה פרטים שאחד ממרכיביהם הוא דף,ספרייה,0,['NN'],['NOUN'],NOUN
הספרייה מכילה פרטים שאחד ממרכיביהם הוא דף,דף,0,['NN'],['NOUN'],NOUN
אטב משמש לתליית דברים על חבל הכביסה,אטב,0,['NN'],['NOUN'],NOUN
אטב משמש לתליית דברים על חבל הכביסה,חבל כביסה,0,[],[],UNDEFINED
באמצעות אבזם סוגרים אבנט,אבנט,0,['NN'],['NOUN'],NOUN
באמצעות אבזם סוגרים אבנט,אבזם,0,['NN'],['NOUN'],NOUN
לגרום למישהו להתלקח פירושו לגרום לו לעבור את התהליך ההפוך מלדעוך,להתלקח,0,['VB'],['VERB'],VERB
לגרום למישהו להתלקח פירושו לגרום לו לעבור את התהליך ההפוך מלדעוך,לדעוך,0,['VB'],['VERB'],VERB
פה - במקום הזה אי שם - במקום כלשהו לא מפורט,פה,0,['NN'],['ADV'],NOUN
פה - במקום הזה אי שם - במקום כלשהו לא מפורט,אי שם,0,[],[],UNDEFINED
מצב בלתי הפיך הוא מצבצ שלא ניתן להחזיר לקדמותו,בלתי הפיך,1,[],[],PHRASE
מצב בלתי הפיך הוא מצבצ שלא ניתן להחזיר לקדמותו,להחזיר לקדמותו,1,[],[],PHRASE
את המפה פורשים על השולחן,מפה,0,['NN'],['NOUN'],NOUN
את המפה פורשים על השולחן,שולחן,0,['NN'],['NOUN'],NOUN
כאן פירושה במקום הזה,כאן,0,['RB'],['ADV'],OTHER
כאן פירושה במקום הזה,מקום,0,['NN'],['NOUN'],NOUN
הוביל פירושו שאדם אחר הלך בעקבותיו,הוביל,0,['VB'],['VERB'],VERB
הוביל פירושו שאדם אחר הלך בעקבותיו,הלך בעקבותיו,1,[],[],PHRASE
"נו""ן הוא שמה של האות ה- 14 באלף- בית",אות,0,['NN'],['NOUN'],NOUN
"נו""ן הוא שמה של האות ה- 14 באלף- בית","נו""ן",0,['NNP'],['PROPN'],NOUN
סימני ניקוד מטרתם להקל עבור אנשים על הקריאה,ניקוד,0,['NNT'],['NOUN'],NOUN
סימני ניקוד מטרתם להקל עבור אנשים על הקריאה,קריאה,0,['NN'],['NOUN'],NOUN
דגל לבן משמש בכדי להביע כניעה,דגל לבן,1,[],[],PHRASE
דגל לבן משמש בכדי להביע כניעה,כניעה,0,[],['NOUN'],NOUN
הפעולה לפייס נועדה לגרום למישהו להפסיק להיות זועף,זועף,0,['BN'],['NOUN'],NOUN
הפעולה לפייס נועדה לגרום למישהו להפסיק להיות זועף,לפייס,0,['VB'],[],VERB
בדבר מושלם אין פגם,מושלם,0,['JJ'],['ADJ'],ADJECTIVE
בדבר מושלם אין פגם,פגם,0,['NN'],['NOUN'],NOUN
מי שעמד בניסיון לא התפתה לדבר מה,עמד בניסיון,0,[],[],UNDEFINED
מי שעמד בניסיון לא התפתה לדבר מה,התפתה,0,['VB'],['VERB'],VERB
מי שהפיס דעתו של אדם אחר גרם לאותו אדם להיות מרוצה,הפיס דעתו,0,[],[],UNDEFINED
מי שהפיס דעתו של אדם אחר גרם לאותו אדם להיות מרוצה,מרוצה,0,['JJ'],['ADJ'],ADJECTIVE
חוטב הוא אדם המבצע פעולה הנעשית על מנת לספק חומר גלם לעבודתו של הנגר,חוטב,0,['BN'],['PROPN'],NOUN
