year,chapter,source,difficulty,base,base_description,option_1,option_1_desc,option_2,option_2_desc,option_3,option_3_desc,option_4,option_4_desc,correct_answer,vowelized,phrases
WIN21,b,NITE,1,מרפד:ישיבה,מי שמרפד משהו הופך את הישיבה עליו לנוחה יותר,מרדים:שינה,דבר מרדים מוביל למצב של שינה,מטעה:שגיאה,מי שמטעה גורם לאחר שגיאה,מתקדם:הגעה,"ככל שמישהו מתקדם, כך הוא מתקרב להגעה",מנקד:קריאה,מי שמנקד טקסט הופך את הקריאה שלו לקלה יותר,4,0,0
WIN21,b,NITE,2,פה:אי שם,"פה - במקום הזה, אי שם - במקום כלשהו, לא מפורט",תמיד:לעיתים,דבר שמתרחש לעיתים לא מתרחש תמיד,היום:אתמול,היום מגיע אחרי אתמול,מזמן:אי אז,"דבר שהתרחש מזמן התרחש אי אז (פעם, באחד הימים בעבר)",עכשיו:מתישהו,"עכשיו - בזמן הזה, מתישהו - בזמן כלשהו, לא מפורט",4,0,0
WIN21,b,NITE,3,אטב:חבל כביסה,אטב משמש לתליית דברים על חבל הכביסה,מגהץ:קרש גיהוץ,את השימוש במגהץ עושים על גבי קרש גיהוץ,קולב:מעיל,על גבי קולב ניתן לתלות מעיל,מסמר:קיר,מסמר משמש לתליית דברים על הקיר,עט:שולחן כתיבה,את השימוש בעט עושים בדרך כלל על גבי שולחן כתיבה,3,0,0
WIN21,b,NITE,4,הערים:הולך שולל,"מי שהערים על מישהו, גרם לכך שמישהו הולך שולל",ליהג:נאלם,מי שליהג לא גרם לכך שמישהו נאלם,דמם:נאלם,מי שדמם לא גרם לכך שמישהו נאלם,דובב:נאלם,"מי שדובב גרם לכך שמישהו דיבר, ההפך מנאלם",היסה:נאלם,"מי שהיסה מישהו, גרם לכך שמישהו נאלם",4,1,1
WIN21,b,NITE,5,ססגוני:צבע,ססגוני הוא מה שמאופיין בצבעים רבים ומגוונים,כוחני:כוח,כוחני הוא מי שמפעיל כוח רב,ריחני:ריח,ריחני הוא מה שיש לו ריח נעים,מפורט:פרט,מפורט הוא דבר מה המאופיין בפרטים רבים ומגוונים,מנומק:נימוק,מנומק הוא מה שיש לו נימוק,3,0,0
WIN21,b,NITE,6,ניצן:פרח,ניצן מתפתח והופך לפרח,מקור:ציפור,מקור הוא אחד האיברים של הציפור,מבוא:סיכום,"מבוא נמצא בתחילת הכתוב והסיכום בסופו, אך לא קיים ביניהם תהליך של התפתחות",פנקס:מחברת,פנקס הוא סוג של מחברת קטנה,גדי:תיש,גדי מתפתח והופך לתיש,4,0,0
SU22,a,NITE,1,צרידות:דיבור,צרידות פירושה ירידה באיכות הדיבור,עיוורון:ראייה,עיוורון פירושו העדר קבוע של חוש הראייה,קירחות:סירוק,קירחות לא מאפשרת לבצע את פעולת הסירוק,סיוט:שינה,סיוט פירושו חלום רע שמתרחש בעת השינה,צליעה:הליכה,צליעה פירושה ירידה באיכות ההליכה,4,0,0
SU22,a,NITE,2,קטנוע:אופניים,קטנוע היא סוג של אופניים ממונעים,משאית:מכונית,משאית היא סוג של מכונית גדולה המשתמשת להעברת משא,מטוס:דאון,מטוס הוא סוג של דאון ממונע,צוללת:ספינה,צוללת היא סוג של ספינה שמפליגה מתחת למים,עגלה:מריצה,עגלה היא סוג של מריצה בעלת מספר גלגלים גדול יותר,2,0,0
SU22,a,NITE,3,הוביל:הלך בעקבותיו,הוביל פירושו שאדם אחר הלך בעקבותיו,טעה:זרה חול בעיניו,הוא טעה משום שאחר זרה חול בעיניו,שכנע:דיבר על ליבו,שכנע פירושו שאדם אחר בא בצל קורתו,אירח:בא בצל קורתו,אירח פירושו שאדם אחר בא בצל קורתו,הנעים:בא כשמן בעצמותיו,הנעים פירושו שהוא בא כשמן בעצמותיו לאדם אחר,3,0,1
SU22,a,NITE,4,מרזב:לנקז,מרזב משמש כדי לנקז משהו,מטרה:לייעד,מטרה היא דבר שניתן לייעד לעצמך ולאחרים,תמונה:לצלם,תמונה היא דבר שניתן לצלם באמצעות מצלמה,איום:להרתיע,איום משמש כדי להתריע מישהו,אפשרות:להציע,אפשרות היא דבר שניתן להציע,3,0,0
SU22,a,NITE,5,צמחייה:צמחים,צמחייה היא שם כולל לצמחים,תזמורת:נגנים,תזמורת היא קבוצה של נגנים,דגה:דגים,דגה היא שם כול לדגים,משטרה:שוטרים,משטרה היא ארגון שבו מועסקים שוטרים,להקה:ציפורים,להקה היא קבוצה של ציפורים מאותו הסוג שעפות יחד,2,0,0
SU22,a,NITE,6,מסיס:ממוסס,דולק הוא דבר דליק שכבר בוצע עליו פעולת הדלקה,דליק:דולק,פותר יכול לבצע את פעולתו רק על דבר פתיר,פתיר:פותר,פותר יכול לבצע את פעולתו רק על דבר פתיר,זריז:מזרז,מזרז פירושו מנסה להפוך אחר לזריז,קליל:מקל,מקל פירשו הופך דבר אחר לקליל,2,1,0
SU22,b,NITE,1,ריק:תכולה,ריק הוא מה שאין בו תכולה,סוטה:נורמה,סוטה הוא מי שלא מתנהג על פי הנורמה,קירח:שער,קירח הוא מה שאין בו שיער,קר:טמפרטורה,קר הוא מה שהטמפרטורה שלו נמוכה,ותרן:פשרנות,ותרן הוא מי שלרוב נוהג בפשרנות,2,0,0
SU22,b,NITE,2,להתערטל:עירום,עירום הוא מי שבוחר להתערטל,להתעמר:סובל,סובל הוא מי שאדם אחר בוחר להתעמר בו,להתעבר:עובר,עובר הוא מה שנושאת ברמה אישה שבוחרת להתעבר,להתגלות:עלום,עלום הוא מה שלא מעוניין להתגלות,להתבסם:שתוי,שתוי הוא מי שבוחר להתבסם,4,1,0
SU22,b,NITE,3,לדוג:דג,לדוג פירשו לאסוף דג מהמים,לאפות:מאפה,לאפות פירושו לאסוף פרי מהעץ,לקטוף:פרי,לקטוף פירושו לאסוף פרי מהעץ,להקפיא:גלידה,להקפיא זו הפעולה שמבצעים לשם הכנת גלידה,לקלף:קליפה,לקלף פירושו להסיר את הקליפה,2,1,0
SU22,b,NITE,4,קמין:תנור,קמין הוא סוג של תנור,ילקוט:תיק,ילקוט הוא סוג של תיק,סנדל:מגף,סנדל הוא נעל קיצית בעוד שמגף הוא נעל חורפית,אהיל:מנורה,אהיל הוא כיסוי למנורה,מצקת:סיר,"מצקת היא כף גדולה ועמוקה שמשמשת ליציקת נוזלים, למשל סיר",1,0,0
SU22,b,NITE,5,רמקול:אוזניות,רמקול מאפשר שימוש של מספר אנשים בו זמנית בעוד שאוזניות נועדו לשימוש של אדם אחד,ספסל:כיסא,ספסל מאפשר שימוש של מספר אנשים בו זמנית בעוד שכיסא נועד לשימוש של אדם אחד,מקלדת:עט,מקלדת משמשת לכתיבת נתונים במחשב ואילו עט משמש לכתיבה ידנית,מקרן:מסך,מקרן הוא מכשיר להקרנת שקופיות המציג תמונות מוגדלות על מסך,שמשייה:מטרייה,שמשייה היא סוג של מטרייה המיועדת להגנה מפני השמש ולא מפני הגשם,1,0,0
SU22,b,NITE,6,הסתלק:סילק,הסתלק הוא מי שסילק את עצמו,נצמד:הצמיד,נצמד הוא מי שהצמיד את עצמו,התחבק:חיבק,התחבק הוא מי שאדם אחר חיבק אותו והוא חיבק בחזרה,הצטווה:ציווה,הצטווה הוא מי שאדם אחר ציווה עליו,נזהר:הזהיר,נזהר הוא מי שנהג בזהירות כי אדם אחר הזהיר אותו,1,0,0
FA21,a,NITE,1,רפת:גבינה,ברפת מגדלים פרה אשר ממנה ניתן להפיק חלק שממנו ניתן לייצר גבינה,מאפייה:לחם,במאפייה מייצרים או מוכרים לחם,אסם:תבואה,אסם הוא מחסן לאיסוף תבואה,כרם:יין,בכרם מגדלים ענבים אשר מהם ניתן להפיק מיץ שממנו ניתן לייצר יין,פרדס:תפוז,"פרדס הוא שטח חקלאי שבו מגדלים עצי הדר, תפוז הוא אחד מפירות ההדר",3,0,0
FA21,a,NITE,2,נוכח:איננו,מי שלא נוכח איננו,צפוני:דרומי,מי שלא צפוני הוא לאו דווקא דרומי אלא יכול להיות מערבי ומזרחי,דולק:כבוי,מה שלא דולק הוא כבוי,קונה:מוכר,מוכר הוא אדם שמספק סחורה לקונה תמורת תשלום,קפוא:רותח,מה שלא קפוא הוא לאו דווקא רותח אלא יכול להיות גם פושר,2,0,0
FA21,a,NITE,3,אהוב:אהב,אהוב הוא מי שמישהו אחר אהב אותו,מזין:האכיל,מזין הוא מי שהאכיל אדם אחר,שלו:נרגע,שלו הוא מי שנרגע,נחוץ:הזדקק,נחוץ הוא מי שמישהו אחר הזדקק לו,נהדר:החמיא,אם מישהו אמר לאחר שהוא נהדר הוא החמיא לו,3,1,0
FA21,a,NITE,4,עלווה:עלה,עלווה היא שם כולל לכלל העלה המכסים צמח מסויים למשל עץ,לבוש:חולצה,לבוש הם שם כולל לקבוצה של בגדים הכוללת בתוכה חולצות אך פרטים אחרים כמו מכנסיים ומעילים,צעדה:צעד,צעדה היא הליכה המונית ומאורגנת של מספר אנשים יחד. צעד (ים) רבים מהווים הליכה,סלט:ירק,סלט הוא תערובת של מיני ירק (ות) שונים,שער:שערה,שער הוא שם כולל לכלל השערה (ות) הצומחות על גופו של יצור מסוים,4,1,0
FA21,a,NITE,5,אופי:עמדו על טיבו,עמדו על טיבו משמע חקרו והבינו את האופי שלו,עברה:קונסוהו,קנסוהו משמע קנסו אותו ככל הנראה בשל עברה שביצע,שם:כינוהו,כינוהו משמע כינו אותו הוסיפו לו שם נוסף,מקום:איתרוהו,איתרוהו משמע איתרו אותו מצאו את המקום שלו,רמז:פתרוהו,פתרוהו משמע פתרו אותו יתכן בסיוע של רמז,3,1,1
FA21,a,NITE,6,איזה:אילו,המילה איזה היא צורת היחיד של המילה אילו,שניים:שתיים,המילה שניים היא צורת הזכר של המילה שתיים,אני:אנחנו,המילה אני היא צורת היחיד של המילה אנחנו,איפה:איה,המילה איפה היא מילה נרדפת למילה איה,יומיים:ימים,המילה יומיים הוא ביטוי המציין זמן של שני ימים,2,1,0
FA21,b,NITE,1,הרשה:רשות,מי שהרשה נתן לאדם אחר רשות,ציווה:פקודה,מי שציווה נתן לאחר פקודה,חוקק:אכיפה,מי שחוקק קבע חוק אשר מחילים באמצעות אכיפה,ביקש:הסכמה,מי שביקש פנה למישהו מתוך רצון שאותו אדם יביע הסכמה,פטר:חובה,מי שפטר הסיר ממישהו חובה מסויימת,1,0,0
